"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"1","_BradleyStein_","RT @Reince: Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain",1873,5,5,-74.0059413,40.7127837
"2","_TheOvertime","""I will never be the same.""

https://t.co/e8f3y6TLYp

#Trump2016 #MakeAmericaGreatAgain #electionhangover #ElectionFinalThoughts",0,0,0,-74.0059413,40.7127837
"3","_Todd_Lucas","Don't forget to vote today.  We need people that will work with our President-Elect @realDonaldTrump #MakeAmericaGreatAgain",0,1,1,-93.3773783,30.2365943
"4","003a04f8c2054b7","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-73.087749,41.6032207
"5","0101limey0101","RT @MarthaWolkonsky: How cool is this?!! 45th President gets his own Jersey! #MakeAmericaGreatAgain #maga #maga3x https://t.co/IlwNccolMV",1,1,1,-119.4179324,36.778261
"6","19mar62","RT @TheFoundingSon: The President we were waiting for so long!
#MakeAmericaGreatAgain https://t.co/Hm5uu6o9vD",58,0,0,-74.8237786,39.0826135
"7","1VirtualPixie","RT @Reince: Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain",1873,5,5,-74.4056612,40.0583238
"8","2babyblueeyes","RT @justonepatriot: I support Team Trump! Download the official app: https://t.co/NUniTLfGQF #MakeAmericaGreatAgain #TrumpTrain https://t.c‚Ä¶",4,2,2,-79.2544902,34.2057166
"9","2braptuedbyJC77","RT @DanScavino: 'HE WOULD STILL LOSE'
Never underestimate the #TrumpTrainÌ†ΩÌ∫ÇÌ†ΩÌ≤®Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏
#MakeAmericaGreatAgain https://t.co/mMEHhJJEZM",4988,0,0,-119.4179324,36.778261
"10","38_milo","BHO:  Had to let the dogs go.  Racists, you know.

#MerryChristmas
#PresidentTrump 
#MakeAmericaGreatAgain https://t.co/LrTENErWRv",0,-1,1,-70.8226541,43.9653889
