"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@theschnittshow @realdonaldtrump @CCTV @BBC @dwnews #trump NBC's Fake News King Brian Williams attacks ""Fake News"" https://t.co/VpvQz0QGrI",FALSE,0,"theschnittshow",2016-12-09 18:30:52,FALSE,NA,"807291437628821504","237345176","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewTemplar77",0,FALSE,FALSE,NA,NA
"2","RT @1SilvaMaria: Trump Supporter Video - EP 4 ""The Last Hope for America"" https://t.co/g6cMz2K6Dl I AM PROUD TO SAY, @realDonaldTrump IS OU…",FALSE,0,NA,2016-12-09 18:30:51,FALSE,NA,"807291436219633664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1SilvaMaria",1,TRUE,FALSE,NA,NA
"3","@AJMcarronsTatto @rrhoop @eldonko_phd @MrTommyCampbell @realDonaldTrump Trump foundation made illegal political donations!",FALSE,0,"AJMcarronsTatto",2016-12-09 18:30:50,FALSE,"807290574013403141","807291431291387904","902732029","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BPAnderson1164",0,FALSE,FALSE,NA,NA
"4","@ABC @realDonaldTrump faulted Obama for spending his free time golfing, so trump will spend his producing a TV show.  Spare time my ass",FALSE,0,"ABC",2016-12-09 18:30:49,FALSE,"807288756621496320","807291426837004289","28785486","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamuelPMorse",0,FALSE,FALSE,NA,NA
"5","#America #trump .@realDonaldTrump supporters...hang on for a distopian ride. My 4 y/o understands empathy &amp; history… https://t.co/NQFoohjMFq",FALSE,0,NA,2016-12-09 18:30:48,TRUE,NA,"807291423028637698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeremyBloomHere",0,FALSE,FALSE,NA,NA
"6","@realDonaldTrump @facebook @POTUS Disabled &amp; attacked on Facebook by a Trump supporter. Punished for defending myself. Bully not punished.",FALSE,0,"realDonaldTrump",2016-12-09 18:30:43,FALSE,NA,"807291399892832257","25073877","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ses1978",0,FALSE,FALSE,NA,NA
"7","RT @DanielleMuscato: ALEC BALDWIN's impression was ""mean-spirited""?! How DARE you, @realDonaldTrump? Have you no shame? You are a bully. ht…",FALSE,0,NA,2016-12-09 18:30:40,FALSE,NA,"807291388496908288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brzy85",1321,TRUE,FALSE,NA,NA
"8","RT @EuroAmericans: Is @realDonaldTrump setting stage for epic salvo of ""You're fired's"" or is it worse?

@jeffsessions @RogerJStoneJr
https…",FALSE,0,NA,2016-12-09 18:30:38,FALSE,NA,"807291380951384064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Problematic1988",2,TRUE,FALSE,NA,NA
"9","RT @nathanTbernard: So glad that Mr. @realDonaldTrump will #draintheswamp by adding Gary Cohn, Goldman Sachs COO &amp; Prez to his admin! https…",FALSE,0,NA,2016-12-09 18:30:37,FALSE,NA,"807291374815027200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mydoggigi",28,TRUE,FALSE,NA,NA
"10","RT @ChadLivengood: Source: Signs point to President-elect @realDonaldTrump picking Ronna Romney McDaniel to lead RNC https://t.co/FkTkdlz6l…",FALSE,0,NA,2016-12-09 18:30:36,FALSE,NA,"807291374005604352",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ss_alpenanews",4,TRUE,FALSE,NA,NA
"11","@carajoy03 @FoxNews @realDonaldTrump Trump doesn't make any promises to anyone who needs help",FALSE,0,"carajoy03",2016-12-09 18:30:32,FALSE,"807290176997310464","807291357098164224","129567406","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leolamarchanda",0,FALSE,FALSE,NA,NA
"12","RT @nathanTbernard: So glad that Mr. @realDonaldTrump will #draintheswamp by adding Gary Cohn, Goldman Sachs COO &amp; Prez to his admin! https…",FALSE,0,NA,2016-12-09 18:30:31,FALSE,NA,"807291351003959296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliceJackson09",28,TRUE,FALSE,NA,NA
"13","RT @trdny: The Trump Whisperer: In the wake of @realDonaldTrump’s victory, @jaredkushner has left the industry speechless: https://t.co/iRg…",FALSE,0,NA,2016-12-09 18:30:25,FALSE,NA,"807291326425432064",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lacunalingua",1,TRUE,FALSE,NA,NA
"14","@jesusforpeace1 @Nanbee3 @sammypolsen12 @realDonaldTrump trump is publically shamed AGAIN  and we will not let him hurt other americans",FALSE,0,"jesusforpeace1",2016-12-09 18:30:21,FALSE,"807289592718196736","807291310386221056","764977090760413184","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","renae_rp",0,FALSE,FALSE,NA,NA
"15","RT @impressivLee: God, @realDonaldTrump is such a liar. Not going to #draintheswamp, Goldman President in admin. https://t.co/OtRgX6EWby",FALSE,0,NA,2016-12-09 18:30:20,FALSE,NA,"807291304724066304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","march4progress",19,TRUE,FALSE,NA,NA
"16","RT @StephenColbart: Gary Cohn is COO &amp; President of Goldman Sachs. How exactly does that #draintheswamp @realDonaldTrump https://t.co/ecwn0…",FALSE,0,NA,2016-12-09 18:30:18,FALSE,NA,"807291295899275266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliceJackson09",29,TRUE,FALSE,NA,NA
"17","RT @impressivLinda: Very sad that @realDonaldTrump added Goldman Sachs COO to his admin. Wanted to give Trump a chance. Pathetic. https://t…",FALSE,0,NA,2016-12-09 18:30:17,FALSE,NA,"807291290417332225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","march4progress",25,TRUE,FALSE,NA,NA
"18","Trump Supporter Video - EP 4 ""The Last Hope for America"" https://t.co/g6cMz2K6Dl I AM PROUD TO SAY, @realDonaldTrump IS OUR PRESIDENT. #MAGA",FALSE,1,NA,2016-12-09 18:30:11,FALSE,NA,"807291265389916160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1SilvaMaria",1,FALSE,FALSE,NA,NA
"19","RT @impressivSarah: Very pathetic that @realDonaldTrump made Goldman Sachs COO &amp; President part of his admin. Guess no #draintheswamp https…",FALSE,0,NA,2016-12-09 18:30:08,FALSE,NA,"807291253754908674",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","march4progress",25,TRUE,FALSE,NA,NA
"20",". . .tell me again how #Trump is the hero of the working class. . .the anti-#WallStreet?  @realDonaldTrump IS GORDO… https://t.co/4LYEh2S5gE",FALSE,0,NA,2016-12-09 18:30:06,TRUE,NA,"807291247526313984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KimbrlyKrautter",0,FALSE,FALSE,NA,NA
"21","Watch @realBobWoodward tell @RoanokeCollege audience about his first interview w/ @realdonaldtrump.… https://t.co/FDZUgw5Me5",FALSE,0,NA,2016-12-09 18:30:03,TRUE,NA,"807291233823494145",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","DamelioNetwork",0,FALSE,FALSE,NA,NA
"22",".@realDonaldTrump: Issue a temporary moratorium on new agency regulations that are not compe https://t.co/nQTZK2GEIC #Election2016",FALSE,0,NA,2016-12-09 18:30:01,FALSE,NA,"807291226420637696",NA,"<a href=""https://www.politiplatform.com"" rel=""nofollow"">PolitiPlatform</a>","PolitiPlatform",0,FALSE,FALSE,NA,NA
"23","@mdecambre @realDonaldTrump has unleashed the markets animal spirits. #TrumpTrain https://t.co/st783T7Xtw https://t.co/tmYcTIcYM0",FALSE,0,"mdecambre",2016-12-09 18:30:01,FALSE,NA,"807291226101809158","373598135","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LanceRoberts",0,FALSE,FALSE,NA,NA
"24","Lessig, lawyers to offer support to anti- @realdonaldTrump electors https://t.co/7LQbp7W5lM #makeitso",FALSE,0,NA,2016-12-09 18:30:00,FALSE,NA,"807291220091346945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A_Fellowes",0,FALSE,FALSE,NA,NA
"25","@realDonaldTrump How much of a pussy do you have to be to launch a twitter attack on a hard-working American? 

https://t.co/TRSapFgGOX",FALSE,0,"realDonaldTrump",2016-12-09 18:29:54,FALSE,NA,"807291196745875457","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RobertHollisW",0,FALSE,FALSE,NA,NA
"26",".@realdonaldtrump See no evil, hear no evil: Donald Trump is turning away his intelligence briefings https://t.co/PihBYpwiA2 @Salon",FALSE,0,NA,2016-12-09 18:29:53,FALSE,NA,"807291192627122176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mnhanson",0,FALSE,FALSE,NA,NA
"27","$TWTR @jack allows @spacekatgal to spread anti #trump fake #news
@realdonaldtrump @KellyannePolls @KatrinaPierson
https://t.co/rY8hpoPHI1",FALSE,0,NA,2016-12-09 18:29:53,FALSE,NA,"807291189607051264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WanderinPoet",0,FALSE,FALSE,NA,NA
"28","RT @impressivSarah: Very pathetic that @realDonaldTrump made Goldman Sachs COO &amp; President part of his admin. Guess no #draintheswamp https…",FALSE,0,NA,2016-12-09 18:29:50,FALSE,NA,"807291178982998016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliceJackson09",25,TRUE,FALSE,NA,NA
